observation_1,observation_2,hypothesis_1,hypothesis_2,label
Lou liked to feed stray animals.,The cat has been Lou's best companion since.,Lou found found a tiger while feeding stray animals.,Lou left cat food outside his back porch every day.,2
Sam had really bad social anxiety.,Sam's social anxiety decreased after exposing herself to more people.,Sam had to go out and meet people to get rid of it.,Sam made an effort at trying to be alone more often.,1
Sadie was excited.,She knew there were millions of other publishing agencies to try.,She finished writing a book and sent it to one publisher.,Sadie was thrilled to get a top publishing agency to sign her.,1
I just got my braces removed.,"Alas, I got a cavity soon after for eating too much gum.",I decided not to chew gum ever again.,I was thrilled to eat forbidden foods again.,2
Tay was having a yard sale.,After the sale she had made more than enough cash!,Tay gave most of her things away.,Tay wanted to make enough money to buy a bike.,2
I had my college prom in The Field Museum,"He asked me to marry him, I said No.",My date was a sweet boy.,My date seemed to be loathing the dance more than me.,1
Sahara was digging through the car.,She was so mad at them for opening the game that she took it back.,She found the package holding the game she bought her son for his birthday.,She found her game had been closed tight.,1
Franklin was an only child and had never had a roommate before.,"They discovered they had a lot in common, and Franklin was reassured.",Franklin talked to his roommate.,He had to get a nanny for college.,1
It was Judy's birthday.,Candy came out and fell everywhere.,Judy has a pinata party.,A pinata full of candy was hitting Judy hanging in a tree.,1
It was starting to get cold outside.,The Smith family was able to stay warm throughout the entire winter.,The Smith family stored lots of canned food.,"Dad, went out and started chopping wood for kindle.",2
A third base coach gave the wrong sign to a player on first.,That was the third out and the inning was over.,The player rounded second as the left fielder threw the ball to the first baseman.,The player tried to steal second and was tagged out.,2
Eli had been thinking about planting a garden.,He realized that the work was worth it and was quite pleased.,Eli worked all day in the cold sun planting flowers.,Over the summer Eli came to realize how much work keeping up on a garden was.,2
Alex was home alone on a Friday night.,"Three friends were there to visit him, and they had a wonderful night.",Alex was sad to spend the whole evening alone.,"Alex,posted on facebook that he was lonely at home.",2
Anna and her friends needed something to do.,They still laughed and had fun.,"They went to the park, but it was raining.",Her friends didn't want to go out.,1
Julie had a coworker named Barry who loved to make trouble for others.,Julie gave Barry a hug and thanked him.,Barry one day helped Julie out during a crisis situation.,Barry apologized for making fun of her hair.,2
I order a dinner meal by my local restaurant.,"Since I didn't have the money, the restaurant gave me a fine.","When the check arrived, I realized I did not have the money to pay for my meal.","I brought money in my wallet from home, and ate everything that was served.",1
We celebrated Chinese New Year on February 7th.,We rang in the new year by watching a youtube video of fireworks.,We wanted to see mistletoe.,It was a very cold day so we opted to stay home.,2
Peter had bought his dad a watch for Christmas.,But then his dad smiled and Peter knew he loved the gift!,It was a long lost family member.,"When he opened the gift, he showed no emotion.",2
Joe and Rafael wanted to see who can cook better wings.,The family agreed that Joe's wings were better.,Joe and Rafael had a dance-off in the backyard.,Joe and Rafael had a cook off later that week.,2
A man went to a katare school to take lessons.,The sensei blocked the attack and punched the foolish man.,The sensei fought the man.,The man fought the sen.,2
I play violin and take a lot of orchestra auditions.,I am now a member of the symphony and love my job.,I decided to try to join the new symphony. I auditioned and they didn't take me.,I practice many hours a week.,2
Tom needed one more quarter for bus fare.,He felt lucky as he headed to the bus stop.,Tom found a quarter on the ground.,An old lady gave Tom a quarter of a sandwich.,1
Pablo likes to eat worms.,Pablo enjoys worms and views them as a delicacy.,He was born in Thailand.,Pablo has been eating worms for two days.,1
Halloween was a couple weeks ago.,I took all the leftover candy to work.,My work had a lot of candy.,All of the candy is gone.,1
Randy wanted to be in a band.,Randy got to join the band as a singer!,Randy auditioned all around town for an acting job.,Randy went to a try out.,2
I never really enjoy Thanksgiving much due to not having much family.,"When we finished, we said our goodbyes and went home to sleep.",After I got married my wife and I celebrated with my family.,I went to a friend's house this year.,2
I woke up at 7am.,He had really awful breath.,I leaned over in bed and kissed my husband.,The mailman man ignored me for a package delivery.,1
Jan and Kim were both using the Montessori education model.,Jan brought the books back.,Jan borrowed some of the books from Kim.,Kim borrowed some books from Jan.,1
Sue had a really bad fever.,She felt better the next day.,Sue decided to stay home and pretend to be sick.,"Sue took the day off, took some aspirin and napped all day.",2
Laura had a passion for art.,Laura was pleased to show people her art.,Laura worked hard learning to paint.,People saw Laura's art project and liked them.,1
James was walking through the snow.,He quickly ran home to change into new clothing.,James' hair got wet.,He slipped and fell in the mud.,2
"One day, Jim and Tom went to the beach.",Jim and Tom never had another hot dog after that day.,They got food poisoning from some bad hamburgers.,The hot dogs Jim bought made them sick.,2
Monique was finishing a new novel.,She took the copy and slapped Gary hard over the head with it.,Gary snuck up behind her and scared her because she was deeply involved in reading her novel.,She was testing Gary about it.,1
My hobby is taking selfies in front of poets' graves.,I took several selfies by this poet's grave.,My favorite was Maya Angelou.,I went to a grave and found a sports figures marker.,1
Karen wanted to have a child of her own.,She has never been happier in her life.,Karen eventually gave birth to a baby rabbit.,Karen asked her boyfriend if he would like one too and he said yes.,2
Tom had too many headphones.,He never had a problem untangling headphones again.,it took him no time to untangle them.,Tom chose to go with wireless equipment.,2
I was bored in my room one day.,"I was still bored, so I stopped.",I decided to play some video games.,So I decided I would try juggling.,2
Today we went on a plane ride.,I vowed to never get on a plane again.,The plane did not have a smooth flight.,And there was a fight over the game.,1
I opened up my sleeping bag I hadn't used in ten years.,"Thankfully though, I knew someone who could fix it.",There was a mouse in my sleeping bag.,and there were a lot of moth holes in the material.,2
Jill always got bad grades in math.,"To her surprise, she got every question right.",Jill studied really hard.,Jill studied really hard for her upcoming English test.,1
Early Saturday morning as I sat reading my Bible a butterfly flew by.,I watched her until she faded away and then resumed my study.,She moved as though she were dancing through the air.,SATURDAY MORNING AS I WOKE UP EARLY AND READING MY BIBLE ALWAYS.,1
Lucy had no clean clothes.,"Lucy fell in love with the feeling of a sweater, warm from the dryer.",Lucy decided to do her laundry.,Lucy threw away her sweater.,1
Liz went to order her burger.,She threw her burger away.,Liz realized it was not a burger.,Liz was not really hungry.,2
Candice loves tacos.,Candice stuck to her original taco recipe.,"Candice tried a new taco recipe, but it tasted terrible.",Candice decided to buy some.,1
Alex is a selfish man.,"Now, Alex is dating the girl and is very generous and sweet.",He changed his ways to find a boyfriend.,Alex met a girl that he really liked.,2
"Last week, my mother was frustrated because it seemed nothing worked.","For half an hour she cried, and it suddenly powered on like magic.",Her computer was just not working.,the power would not turn off in the house.,1
Evie was at a fair.,They were so pretty that she decided to buy one.,Evie saw a captivating hat at a booth.,People with lots of hats saw Evie.,1
Lucy had a test tomorrow at school and she barely studied.,Lucy aced the test.,Lucy was super smart and always paid attention in class.,Lucy decided to study next time for the final test.,1
Peter decided to go for a walk.,He headed home to change his clothes.,Peter got wet in the dryness.,"Halfway through his walk, it started pouring.",2
Marie decided to be in a school play.,Marie was proud at the end when she got a standing ovation.,Jennifer practiced her lines and emotions.,Marie read the script many times to remember every line.,2
Lisa noticed there was a new girl at school.,Lisa was glad to help.,Lisa looked like she was lost.,Lisa invited the new girl to sit down with her and eat lunch.,2
Sam was mowing his front lawn.,He placed them back into the nest in the tree.,Sam crushed bird eggs on his front lawn.,Sam spotted three baby birds on the ground.,2
Alicia wanted to go to Miami for her party.,The girls were mad because it was supposed to be a girls trip.,Alicia invited a boy to go along.,But her little sister wouldn't let her go alone.,1
Matt and his girlfriend went to Yosemite last May.,They had a wonderful trip and are excited to return.,The weather was beautiful in Yosemite.,matt had a caught the stomach flu.,1
Lee begged her parents to let her stay up late.,"But by eleven o'clock, she had fallen fast asleep!",She wanted to wake up to swim.,Lee's parents said she could stay up till midnight.,2
Jeff learned how to play guitar at a very young age.,They took the band on tour and became rockstars.,He clumsied everyday and became part of a band.,Jeff's parents liked listening to his band play.,2
A scientist discovers that there is a disease beginning to spread.,They save the world.,They ignore the authorities.,The scientist creates a vaccine.,2
Matthew wanted to got trick or treating with his friend Micah.,Jack and Matthew collected lots of candy.,Micah had to stay at home sick.,Micah had a huge bag to collect candy.,1
Jon got a job in East Texas.,He decided to quit the job.,Jon didn't like his mom.,It was a hour away from his house.,2
A farmer built a fence to keep in his horses.,The farmer cursed and realized his fence was too short.,The farmers horses all escape the fence.,No horses can escape the fence.,1
Nancy is in her forties and decided to go get her college degree.,Nancy was surprised by how much things have change in schools.,"At her new university, all courses required online participation.",Nancy is much younger than most students in her classes.,1
Mike had a lemon tree in his backyard.,He soon realized that he had forgotten to put any sugar in it!,Mike made some lemonade with added sugar and took a big drink.,Mike made some lemonade and took a big drink.,2
I took my sons to their first concert.,My sons decided they would rather go out and sit on the lawn.,I bought them seats in the front row.,My sons fell asleep.,1
Jim wants to see an action movie but Jen wants to see a romantic one.,Jen was so happy that she went to see Jim's movie the next night.,Jim agreed to see the romantic movie with Jen.,Jen agreed to see the romantic movie with Jim.,1
Tito went surfing one morning in Hawaii.,He hit his head on a coral and died.,A big wave knocked Tito off his surfboard.,Tito saw the conditions were dangerous.,1
Larry has decided to help out his friends prepare for a party.,Larry decided to stay home from the party.,Larry caught the flu right after the party.,Larry caught the flu just before the party started.,2
Mimi and Alice had a favorite hangout spot.,Now all they had of their favorite spot were the memories they created,the spot get ruined.,Mimi and Alice's favorite spot was preserved as a historical location.,1
Sarah wanted to mail a card.,Sarah's letter was soon heading to its destination.,She put stamps on it.,Sarah walked to the mailbox down the road.,1
Lisa went for her routine bike ride.,Some days turn out to be great adventures.,Lisa spotted a cat and followed it off trail.,Lisa saw a lot of great food.,1
Andrea's dad asked her to get firewood.,"Then, she brought them inside.",Andrea picked up as much wood as she could.,Andrea went and found fireflies.,1
Jack had been working super hard for weeks.,He got the promotion.,Jack's boss noticed how hard he ate his food.,Jack got called into his boss's office.,2
Gina was in the middle of the backseat surrounded by siblings.,Gina was disgusted.,Gina's sister got car sick and threw up.,Gina's siblings started picking their noses.,2
Sara was walking home from her college class.,"By the time she got back, it was time to go to school again.",Sara decided to skip school.,Campus construction forced Sara to take a long detour.,2
The mayor wanted the town to decide how to use the warehouse.,The next year he quit his day job and went on the road.,The town was incredibly well ran.,Nobody listened to him despite his great ideas.,2
Jim ordered a new tablet off of the internet on black friday.,They shipped him a new tablet because the other was lost in transit.,He received his tablet the next day.,Jim did not receive it and filed a complaint.,2
Sally really loves to play soccer.,She won her first game by scoring the winning goal!,Sally practiced playing soccer everyday.,Sally was cut from the team.,1
Lisa told everyone she was a great cook.,Her friends were shocked when it was boxed macaroni and cheese!,Lisa does not like to cook prepackaged foods.,"Lisa, brought the dish out and served everyone.",2
May hated doing dishes.,May was so relieved that her dishes were all done now!,May did all of her dishes.,May decided to buy paper plates.,1
I was painting my nails yesterday when I needed remover.,I had to open the window to get the smell out.,I almost spilled remover all over the floor.,I was getting lightheaded looking for it.,2
Jimmy was washing his car.,Dirt particles from the cloth had rubbed against his car's paint job.,He was very careful with the wash.,His child ran up and threw mud balls at him.,2
Maggie noticed a bat was flying around her ceiling.,It was the bat.,There was a screeching sound from below.,There was a screeching sound from above.,2
Yesterday I went to Macy's.,Luckily I was able to return it.,I bought a dress in the smallest size that still fit!.,The sweater I purchased was too small.,2
Nina brushed her beautiful brown hair.,She forced herself to be more gentle.,Nina saw a lot of hair in her brush.,Nina noticed she was pulling extra amounts of wax from he scalp.,1
Sally mom told her they didn't have money to pay the light bill.,Her mom paid the light bill.,sally reminded her mom had some money in the savings account.,Sally's mom gave her money.,1
Michael was playing a video game.,He was banned from the game.,Michael left nasty comments on the school forum.,Michael began harassing a female player in the game.,2
Jack stole a small boy's bike.,"Jack returned the bike, and hasn't stolen any since.",As Jack ran away on foot he was hit by a passing car and soiled himself.,Jacks mom found out and punished him and made him apologize.,2
Gina had a friend named Ruth who lived across the street.,Gina was shocked since she had no idea Ruth had been stealing.,Ruth found out Gina got arrested for theft.,The cops showed up to raid Ruth's house.,2
James was a fire chief who wanted to retire to Florida.,The kitchen is always crowded when James makes his Eggplant Parmesan!,James remaining to make Eggplant Parmesan.,After James retired he became a chef.,2
Lucy rented a movie to watch at home.,Lucy sat with tears running down her face as the credits played.,"Lucy watched the movie, though it was thrilling.",The move had a sad ending.,2
Chad bought a new car.,Chad was reduced to taking the bus and walking once again.,chat got in a car accident.,Chad saw a car accident.,1
Samantha was drenched in sweat.,Samantha was glad that it was just a dream.,She woke up laughing.,Samantha had a nightmare.,2
Tom was looking for a flower for his girlfriend today.,Tom walked out of the store with the pretty flower in hand.,Tom looked around a long time for a flower.,Tom went to an online flower store.,1
Chase had a loose tooth.,When his tooth came out he was relieved.,Chase was in a good place.,Chase jumped on the tramp and his tooth fell out.,2
Steve saw some sushi in the fridge.,His roommate was fine with it.,Steve ate it and it turned out to be his roommates.,It belonged to Steve's roommate. He said if he take him the sushi to night Steve will receive him out for sushi tomorrow.,1
Shirley was pregnant and had just gone into labor.,"Before she could wrap her head around it, her baby was born.",Shirley barely experienced pain.,Shirley was excited she was going to become a mom.,1
Beth broke her leg.,Now it stinks very bad.,Beth's leg was stuck in a cast for several ending.,Beth had a cast on for weeks.,2
There was a rumble in the park.,Just then the police showed up.,Noone called the police.,Gunshots went off loudly.,2
"Jon wanted to know more about birds, so he went to the library.",Jon ran out of the library and never went there again.,Jon's peers made fun of the book he chose.,Jon saw a bird that flew inside the library book.,1
Joey accidentally drove his truck off the road Christmas morning.,Joey made it home in time for Christmas dinner.,Joey happened to have AAA.,Joey was stranded for more than five minutes.,1
Brenda went on a vacation to Vegas.,She left Vegas knowing she had a good time.,Brenda forgot to go dance and gamble.,She danced and gambled the whole time.,2
Beth had to choose between universities.,Beth decided to stay at home and go to school close by.,Beth didn't want to be away from her family and friends.,"Beth did not want to pay for student housing, so decided to squat.",1
Lia was starting high school at a new school.,Lia made many friends on her first day!,Lia talked to many new teachers.,"Lia was an outgoing person, so she quickly introduced herself.",2
Jack works at an auto body shop.,They're afraid to give the owner the bill.,Jack crashed an expensive car.,Jack had to get the car lift repaired it was very expensive.,2
Four Outlaws camped in Blood Gulch.,He let them go free.,The guard cheked them to see what they were wearing.,The sheriff bribed the outlaws with his ill-gotten gains.,1
Eli was a fan of the Walking Dead and all his friends knew it.,Eli was sentenced to life in prison for his reckless behavior.,Eli tried to watch the show in real life.,"Eli attacked one of his friends, laughing and proclaiming she was a zombie.",2
Jan and Kim were both using the Montessori education model.,Jan threw away the books.,The Montessori model does not focus on textbooks.,The Montessori model does not work without textbooks.,1
Ashley had been working hard at work.,She happily accepted.,Ashley was offered a demotion.,Ashley was ask if she wants a promotion.,2
Tommy was scared of skating.,He always loved skating after that.,His big brother spent a week teaching him to skate.,Tommy realized that he was really good at eating.,1
Jane wanted to wear a shirt.,She returned it and apologized.,she bought a scarf that was the wrong size.,Jane realized the shirt was too small.,2
Dan took his daughter to the beach.,They came back the next day and built one again.,Dan and his daughter built a huge sandcastle right after a wave came in and washed it away.,Dan and his daughter built a sandcastle.,2
"While walking his pet lizard, he didn't think he was breaking the law.",He gave the lizard's owner a ticket.,Having a lizard is illegal in that town.,A police officer said hi to the lizard owner.,1
I was invited to a party from a somewhat friend.,First party that I wanted to be over fast.,It was very boring.,All of his friends were nice and I felt comfortable.,1
I played an April Fools joke on my friend in 2007.,She was very excited until she found out it was a trick.,I told her I was getting her an cheap gift.,I maid her think she won the lottery.,2
Reggie and Ally were laying on the ground looking up at the sky.,To her Reggie's dinosaur looked like a bunny.,They were looking at clouds shape.,Reggie and Ally were looking for shapes in the clouds. Ally said one cloud looked like a dinosaur. Reggie disagreed.,1
Dana loved his gold chain.,He sold his $200 gold chain for $20 to a passerby.,"Dana, lost his wallet and needed money.",Dana got into debt very badly and needed $200.,1
Kelly was watching a huge lightning storm.,Luckily they were able to put it out easily.,A bolt of lightning hit the tv antennae.,Lightning struck and started a small fire.,2
Every morning I wake up to the bird's crow.,I know it's morning when I hear the bird's crow.,I saw the bird's feathers.,I no longer turn on my alarm clock.,2
Lars had always wanted to try photography.,Lars hated photography.,Lars finally tried photography and was terrible.,Lars quickly discovered that photography was easier and more exciting than he had anticipated.,1
Yesterday was Lauren's Birthday.,She loved the cake and ate 2 pieces after blowing out the candles.,I made her a pie.,Lauren was excited to see a cake with candles.,2
Nita was playing rummy with her dad.,Nita hated playing rummy.,Nita lost as she always does.,Nita just crushed it as she always does of course.,1
Michelle had a big test on Friday.,They both laughed for a while and crammed extra hard.,Michelle studied with her friend.,Michelle did not study.,1
Linda went to buy some frozen yogurt.,Linda was very pleased.,The store had Linda's favorite brands at a new higher price.,The store had Linda's favorite brands at a new lower price.,2
Rena had a tattoo she didn't like.,"One hour later,the new cover up tattoo was finished over the old one.",Rena went to the tattoo parlor to get another one.,She decided to get a cover up tatoo.,2
Miss Susie was counting the kids in her class getting on the bus.,The kids and Miss Susie got on the bus to go back to school.,They were coming back from a field trip.,Miss Susie counted all the chickens.,1
A florist began to make a bouquet of red roses.,The bouquet was sold to a customer moments later.,The florist put the bouquet in overnight storage.,She placed the bouquet in her front display case.,2
Randall wants to play with other kids in his class.,Randall gladly shared his toy with his new friends.,"A boy from his class came over and asked him play, but he said no.",The kids saw his toy and wanted to play.,2
George's stomach growled.,"Grinning, he mixed them together and enjoyed a bowl of tomato soup.",He grabbed some crackers from the table nearby and found a can of soup.,George made some Chinese food for dinner.,1
June liked to practice yoga often.,June practiced her yoga at the park in a secluded spot.,June liked to do yoga late at night.,June liked to practice yoga outside at lunch.,2
May was a big fan of the singing group Pentatonix.,Later that month May went to see and meet the band members!,May won a radio contest to meet the band.,May bought counterfeit tickets online.,1
Jon was driving to work.,Jon turned around and drove home to change into clean clothes.,Jon spilled coffee on himself.,"Jon realized he had put on a dirt, smelly shoe.",1
Peter and Kevin grew up in a small town.,"Their sons are the best of friends, and play on the same team.",Peter and Kevin's daughters like the same sports.,Peter and Kevin had kids.,2
Jeff lived in an apartment.,Jeff moved out of his apartment.,Jeff decided to buy a hot tub.,Jeff wanted a place with a big yard.,2
Allison was entered to be in a competitive eating contest.,Allison did not do well in the contest and didn't win.,Allison tried really hard to eat all the hotdogs.,Allison had frequently done things like this before.,1
Sally wanted to give her Mom something special for her birthday.,Sally made a pretty pink necklace out of beads for her Mom's birthday.,she went shopping and found a nice jewelry craft set.,Sally had already bought her a gift.,1
Jeremy's mother didn't approve of his lifestyle.,Jeremy enjoyed being more responsible.,Jeremy got a job and moved out.,Jeremy got a job and moved in.,1
Morgan enjoyed long walks on the beach.,Her boyfriend was upset he didn't propose to her first.,her boyfriend wants to marry her for sure.,Morgan's boyfriend didn't like the beach but her best friend Mike always went with her.,2
The kids were at the beach.,They loved jumping the waves.,Kids loved waves.,The kids played in the water.,2
Rachel bought a goldfish for her child.,Her child asked her why his fish lost so much weight.,The goldfish appeared to lose weight rapidly.,Her child did not feed the dog.,1
I came home from work one day.,I made a delicious stir fry and ate it.,I wanted to try something new with my leftovers.,I was hungry so I went into the kitchen and ordered something to eat.,1
Ted like to park as close to his office building as possible.,Ted never saw the car parked in two spaces again.,Ted accidentally washed a car parked in two spaces.,Someone hit Ted's car.,2
Thunder rumbled in the distance as the rain began to fall.,The flash of lightning threw eerie shadows on the wall.,I was trying to sleep.,I went outside to watch the storm.,1
Erica was in a hurry in the morning.,She arrived at work on time.,Erica loved to be late to work.,Erica drove fast in her car.,2
Heather had four children.,Heather was mortified when she stood and found her pants soaked.,"While holding one of them, she felt something dry in her lap.",Heather's kids played a prank on her.,2
Erica has always liked to dress formally for any occasion.,Erica wishes she hadn't always been so formal.,her dresses were so expensive and casual.,Erica went to a party and was stared at. Everyone was casually dressed.,2
Kevin made Peruvian style chicken at a stall in New York City.,Kevin was later given a health code violation and had to close shop.,Kevin used different boards to cut chicken and onions.,Kevin used the same board to cut chicken and onions.,2
Ricky fell while hiking in the woods.,Ricky was soaking wet from falling in the pond.,Rick rolled into a pond.,Ricky fell into the grass below.,1
Leila went on safari in Africa.,Leila would remember the safari for many years to come.,"Leila saw lions and elephants, and tried lots of terrible foods.",She so enjoyed the animals and living out of a tent.,2
James had a vision of a product to save lives.,"James went to market with the idea, anyway.",James developed it with some positive feedback.,James couldn't find a way to make it cheap.,2
I was walking in the park.,I had to throw away my shoes.,I wasn't careful and stepped in dog poop.,I stepped in a pile of mud and realized I had a hole in my shirt.,1
Karl bought a new rug.,When he got a new one he didn't let the dog near it for a while.,Karl was afraid his dog would steal the rug.,Karl's dog immediately urinated on it.,2
Remy was always good at playing soccer.,Remy was surprised when they both were awarded the scholarship.,Her sister was even better than Remy.,Remy had a rival who played as well as she.,2
Ryan wanted to treat his friends.,Everyone liked it.,Ryan invited his closest friends to the restaurant and treated them to lunch.,Ryan took them to his favorite restaurant for dinner.,2
Billy decided to collect insects.,Billy decided that he enjoyed his new hobby.,Billy found a lot of bugs.,she is the best.,1
Leah loved fireflies.,"So, she admired the fireflies from her window instead.",Leah couldn't watch the fireflies outside.,"She wanted one as a pet, and thought that would be fun.",1
Tim went on a date.,Leslie loved the date.,Tim took Leslie on a romantic bear hunt.,Tim went to the movies with Leslie.,2
Emma wanted to learn how to sew.,Now Emma can make a full wardrobe.,Emma went for sewing lessons.,Emma took some clothes and was good at it.,1
Bob decided to hike in the jungles of Indonesia.,Bob had always been reckless.,Bob decided to turn back when he realized he wasn't properly equipped for the hike.,Bob forgot to bring a canteen and died of dehydration.,2
Sam and his wife were busy packing for their trip.,Sam wanted to get away from his wife as soon as possible.,Sam's wife flirted with other men on the trip.,She was getting angry because he already packed his suitcase the way she told him to.,1
We were driving through the Blue Ridge Mountains in the early spring.,"The next morning, the ranger told us that a bear had been spotted.",We kept driving nonstop until we arrived.,We had stopped and decided to camp at a rest area because we were tired from driving.,2
Anna was making a world atlas.,Then she colored in her atlas.,Anna drew her world cotton balls.,Anna drew her world atlas.,2
Leslie is my boss and she is very good at her job.,I should listen to her more because she has promoted me twice.,Leslie treats me like she does not like me.,Leslie treats me with respect.,2
Charlie had left his beloved stuffed monkey on the school bus.,"After carefully searching it, he found the lost monkey!",Charlie went back to search the bus.,Charlie look for a few minutes.,1
My roommates put up their Christmas tree this year.,This is what it's like living with a cat.,The roommates soon had to take the tree down.,The cat enjoyed the ornaments and garland and slept under the tree.,1
Joe went to college for art.,Joe hated pizza.,"Because of his Italian heritage people called him ""Pizza Joe."".",and hated art.,1
Jason woke up late one morning.,Jason swore he would never make that mistake again!,Jason aced his exam and his professor congratulated him.,Jason missed the train to go for office.,2
I was on the track and field team in high school.,"At the end, I lost all my energy and got 5th place.",I trained a lot for a meet.,I didn't practice much.,1
I invited my two male friends over to fix my car.,"I was so shocked, I immediately kicked both of them out.",they were kissing when I walked back outside.,They both didn't know how to fix it.,1
Sandy and Bob set out to break a world record.,Sandy was mad that they did all that work for nothing.,They almost set it but missed by 2 seconds.,"Sandy and Bob tried to build the biggest ladder in the world, but they did not have enough time.",1
Kelly loved to paint.,"And to her great surprise, she won first place!",Kelly entered her painting in a contest.,Kelly decided to enter a singing contest.,1
I hate grooming.,I had to cut my hair off.,I messed up on my right side of my car.,Because it's too difficult to maintenance.,2
Marsha had just moved in with her husband.,Marsha was devastated.,Her husband had a miscarriage due to stress.,Marsha was told by the landlord she would not be able to keep her dog.,2
Tim took a summer job on a farm.,"He also earned a deep, dark tan!",He had the chance to gamble.,Tim earned good money for his tuition.,2
Becky wanted to improve her cooking skills so she signed up for class.,Her boyfriend agreed as well.,Becky had not cooked good food.,Becky hated her first class and asked her boyfriend to join in.,1
I read Far from the Madding Crowd in 2006.,My son is converting it to mp3.,"John, my son decided he wanted to read the book.","I hated Far from the Maddening crowd so much, I told my son about it.",1
Cornelia had always loved working with her hands.,Cornelia uses it as a nightstand in her room.,"Cornelia re-built an old, broken table.",Cornelia decided to make a blanket with the yarn scraps in her garage.,1
Tim wanted to drive badly.,He passed it on the very first try!,Tim took his algebra test.,He took his test.,2
Sam loved breakfast.,Sam ate three waffles this morning.,Breakfast ate a lot at Sam.,Sam found his favorite waffles in the freezer.,2
I wanted a pet for my birthday.,I brought a dog home since I have so many dogs already.,So I went to the Dollar Store.,So I went to the Dog Pound.,2
Louisa loved roller coasters.,She beat the game in a day.,Louisa bought roller coaster tycoon.,Louisa played the line coaster simulator.,1
Candice loves tacos.,Candice got better at making tacos.,Candace could learn how to make tacos.,Candace studied the art of taco making.,2
Tammy was excited that her family was moving to a new home.,When they arrived at their new place Tammy loved it and wasn't scared.,Tammy was also afraid.,Tammy heard the new house had burned down.,1
My friends bought me a gift.,I learned to be more careful with knives.,I used a knife to open the gift but ended down cutting myself.,"It was knives, and I accidentally cut myself.",2
I got up from a nap feeling very hungry.,"After the inspector arrived and killed the rats, I felt very happy.",I decided not to eat when I saw a rat in the kitchen.,I ate a lot of rats in my kitchen.,1
John found a wallet on the street with $180 in it.,He gave him half the money that was in the wallet!,He couldn't believe his modesty.,"John, returned the wallet to the owner and was rewarded.",2
Sean was playing with his guitar one night.,No one knocked again but he was certain that it was a noise complaint.,someone knocked on his wall.,The police showed up knocking on his door.,2
John loved to paint in the park.,John was flattered and agreed to doing the mural.,A business owner replied him to do a mural.,john was hired to paint something for someone.,2
Mary gave her dog Max a bone for Christmas.,She gave it back to Max who wagged his tail happily.,Max could not find it so she looked for the bone for him.,Mary got an extra anti-cartilage.,1
Kiki was a brand new mother.,Kiki and her baby were much happier with her decision.,Kiki decided to go back to work.,Kiki decided to work from home.,2
Luke was entered into a pie eating contest.,"Luke didn't care to win, he was just happy to eat free pie.",Luke loved pie and was not that competitive.,Luke's stomach turned thinking about pie.,1
It was the day Amy's new furniture was being delivered.,Just then the truck pulled up with the furniture.,She was getting anxious and thinking about calling the police.,Amy stayed at home for the furniture to arrive.,2
Alan got a gun for his 18th birthday.,He then went to sleep.,He put it by his bicycle.,He shot at paper targets all day.,2
My friends decided to go to Boomers.,"Although the arcade closed early, we had a good time.","The video games were all out of order, but everything else was open.",Boomers doesn't have any of the games we like to play.,1
Jimmy was walking home from school.,"When Jimmy got home, his mother let him keep the dog!",Jimmy found a dog who had no collar on.,Jimmy repelled a stray dog who attacked him.,1
Tom wanted to learn to bowl.,"He did so well, he won second prize!",A bowling competition entered Tom.,He hired a coach before the bowling tournament.,2
Charles still calls the party-line to meet girls.,The girl was a blond supermodel washing cars in a wet t-shirt.,A girl picked up the party line.,He wanted one of them to be his brother.,1
I turned off my computer and picked up a notebook.,I spent most of the time staring at the blacked-out screen.,I started browsing random websites.,I don't know what to write.,2
Nina had an asthma attack in school one day.,"Luckily, another girl had had an inhaler in her purse!","Nina, panicked as she realized her inhaler had asmtha.",When she rummaged through her backpack she realized she did not bring it.,2
My boss asked me to find the mean value of a data set.,He thanked me for my brilliant insight into the problem.,I gave my boss the answer quickly.,My boss gave me the answer quickly.,1
"Leo was throwing a huge party, the invitations were in the mail.","However, Leo never put stamps on the invites and no one came.",Leo was excited for the party.,No one ended up coming to the zoo.,1
Noah was playing in his treehouse.,He was so glad.,Noah saw his friend coming towards his house.,Noah had fun with his friends.,1
Rupert worked as a program leader keeping track of schedules.,Rupert is glad that he is so close to retirement.,Rupert hates his job.,Rupert loves his job.,1
Adam fell asleep at a sleepover.,Adam was so embarrassed he blushed.,Adam woke up with drawings on his face.,Adam woke up to all his friends talking to him.,1
Jill's two cats had kittens in the same week.,"Jill gave them to the other cat, who looked grateful.",Jill decided she had too many credit cards.,One of Jill's cats had way more than the other.,2
Rob hated the second grade.,They decided to homeschool him for the rest of the year.,Rob was having a hard time adjusting.,Rob talked to his dog.,1
Joy was jealous when she didn't get an invitation to a sleep-over.,But Joy's mom heard of the infestation and made her clean the house.,Joy's house was a sad place to be.,The sleep over was canceled after lice was found.,2
"Curt worked for Lu's grandfather in a deli in Selma, Indiana.","Lu and Curt got married and moved to Selma, Alabama.",Lu would visit Kurt everyday at lunch.,"Curt was dating Lu, but they broke up.",1
Clay plays baseball for a living.,Clay cannot pitch the rest of the season due to his injury.,he ended up breaking his arm.,Clay injured his refuse in a game.,1
Carl had three kids and a wife.,It only took Carl 20 minutes to remember how much he hates his life.,Carl went on vacation.,Carl had some time alone when his dog was away.,1
